,species,protein number,mean length,length std,min. length,1st Q length,median length,3rd Q length,max. length,Proportion false start,Proportion premature stop,Proportion Fragment (annotated),Proportion Pseudogene (annotated)
0,Actinidia_chinensis,33044.0,424.9847778719283,300.7287818623151,13.0,219.0,357.0,538.0,5453.0,0.020275995642174072,0.0,0.0,0.0
1,Aegilops_tauschii,39614.0,376.8575503609835,295.677393411035,29.0,165.0,313.0,500.0,5005.0,0.4508002221436866,0.0,0.0,0.0
2,Amborella_trichopoda,27313.0,313.9824625636144,294.026187802935,49.0,119.0,214.0,415.0,4990.0,0.028155090982316115,0.0,0.0,0.0
3,Ananas_comosus,25783.0,380.3779234379242,325.0671354081466,1.0,156.0,302.0,501.0,5407.0,0.1531629368188341,0.0,0.0,0.0
4,Arabidopsis_halleri,32158.0,400.0029852602774,304.2894554480572,6.0,189.0,337.0,515.0,5384.0,0.008116176379128055,0.0,0.0,0.0
5,Arabidopsis_lyrata,32667.0,360.3864450362751,292.7905210481255,49.0,154.0,295.0,476.0,5090.0,0.027734410873358435,0.0,0.0,0.0
6,Arabidopsis_thaliana,27628.0,404.6588243810627,301.9325293108978,1.0,197.0,346.0,521.0,5400.0,0.002425076009845085,0.0,0.0,0.0
7,Arabis_alpina,21609.0,385.5855893377759,295.3360617849099,5.0,184.0,328.0,503.0,5083.0,0.03429126752741913,0.0,0.0,0.0
8,Asparagus_officinalis,24141.0,334.4452591027712,287.1341580637963,50.0,147.0,244.0,427.0,5170.0,0.012302721511122158,0.0,0.0,0.0
9,Beta_vulgaris,26521.0,353.69130123298515,310.933830535474,1.0,135.0,279.0,480.0,5437.0,0.0571622487839825,0.0,0.0,0.0
10,Brachypodium_distachyon,34310.0,376.28181288254154,299.8886791115275,23.0,162.0,313.0,497.0,5373.0,0.025123870591664238,0.0,0.0,0.0
11,Brassica_napus,101040.0,332.72802850356294,277.2957296211425,10.0,140.0,269.0,446.0,21111.0,0.010065320665083135,0.0,0.0,0.0
12,Brassica_nigra,59851.0,340.8344889809694,305.5245501882242,1.0,132.0,257.0,449.0,5371.0,0.07782660273011312,0.0,0.0,0.0
13,Brassica_oleracea,59220.0,346.46038500506586,281.30656727689575,20.0,153.0,278.0,454.0,5370.0,0.04738264099966227,0.0,0.0,0.0
14,Brassica_rapa-o-18,43129.0,408.4306383176053,334.60293756784745,51.0,179.0,326.0,526.0,5374.0,0.05717730529342206,0.0,0.0,0.0
15,Camelina_sativa,89275.0,397.99711005320637,325.568183667735,33.0,178.0,326.0,511.0,6772.0,0.06367964155698684,0.0,0.0,0.0
16,Cannabis_sativa_female,27236.0,403.53054780437657,355.71112192510424,31.0,161.0,306.0,514.0,5502.0,0.011418710530180643,0.0,0.0,0.0
17,Capsicum_annuum,35845.0,362.7404658948249,281.5367771430849,25.0,164.0,290.0,474.0,5452.0,0.016710838331705957,0.0,0.0,0.0
18,Chara_braunii,34718.0,654.0907022293911,555.5490330795478,6.0,297.0,497.0,853.0,8938.0,0.01808859957370816,0.0,0.0,0.0
19,Chenopodium_quinoa,34426.0,423.32638122349385,311.86343401416497,11.0,215.0,353.0,536.0,5310.0,0.045517922500435716,0.0,0.0,0.0
20,Chlamydomonas_reinhardtii,17743.0,734.4247872400383,790.4755331106354,54.0,253.0,499.0,924.0,23859.0,0.0012399256044637321,0.0,0.0,0.0
21,Chondrus_crispus,9807.0,349.8036096665647,342.42205527035185,10.0,106.0,258.0,476.0,5324.0,0.009584990313041705,0.0,0.0,0.0
